Ewe/V,Capacity/mA.h
3.33E-01,0.072141287
3.32E-01,0.072281388
3.32E-01,0.072421487
3.32E-01,0.072561585
3.31E-01,0.072701684
3.31E-01,0.07284178
3.31E-01,0.072981878
3.30E-01,0.073121977
3.30E-01,0.073262079
3.30E-01,0.073402178
3.29E-01,0.073542276
3.29E-01,0.073682375
3.29E-01,0.073822477
3.29E-01,0.073962578
3.28E-01,0.074102679
3.28E-01,0.074242784
3.28E-01,0.07438289
3.27E-01,0.074522993
3.27E-01,0.074663094
3.27E-01,0.074803197
3.27E-01,0.074943302
3.26E-01,0.075083407
3.26E-01,0.07522351
3.26E-01,0.07536361
3.25E-01,0.075503712
3.25E-01,0.075643811
3.25E-01,0.075783911
3.25E-01,0.07592401
3.24E-01,0.076064108
3.24E-01,0.076204209
3.24E-01,0.076344312
3.24E-01,0.076484414
3.23E-01,0.076624516
3.23E-01,0.076764616
3.23E-01,0.076904715
3.23E-01,0.077044815
3.22E-01,0.07718491
3.22E-01,0.077325008
3.22E-01,0.077465105
3.22E-01,0.077605204
3.21E-01,0.0777453
3.21E-01,0.077885394
3.21E-01,0.078025489
3.20E-01,0.078165584
3.20E-01,0.078305682
3.20E-01,0.078445778
3.20E-01,0.078585873
3.20E-01,0.078725972
3.19E-01,0.07886607
3.19E-01,0.079006168
3.19E-01,0.079146266
3.19E-01,0.079286363
3.18E-01,0.079426459
3.18E-01,0.079566556
3.18E-01,0.07970665
3.18E-01,0.079846746
3.17E-01,0.079986843
3.17E-01,0.080126939
3.17E-01,0.080267034
3.17E-01,0.080407133
3.17E-01,0.08054723
3.16E-01,0.080687328
3.16E-01,0.080827426
3.16E-01,0.080967519
3.16E-01,0.081107611
3.16E-01,0.081247706
3.15E-01,0.0813878
3.15E-01,0.081527898
3.15E-01,0.081667993
3.15E-01,0.081808089
3.14E-01,0.081948184
3.14E-01,0.082088279
3.14E-01,0.082228372
3.14E-01,0.082368466
3.14E-01,0.08250856
3.13E-01,0.082648651
3.13E-01,0.082788742
3.13E-01,0.082928834
3.13E-01,0.083068925
3.13E-01,0.083209016
3.12E-01,0.083349107
3.12E-01,0.083489199
3.12E-01,0.083629291
3.12E-01,0.083769388
3.12E-01,0.083909484
3.12E-01,0.084049578
3.11E-01,0.084189672
3.11E-01,0.084329768
3.11E-01,0.084469863
3.11E-01,0.084609961
3.11E-01,0.084750053
3.10E-01,0.084890149
3.10E-01,0.085030244
3.10E-01,0.08517034
3.10E-01,0.085310434
3.10E-01,0.085450528
3.10E-01,0.085590622
3.09E-01,0.085730718
3.09E-01,0.085870816
3.09E-01,0.086010911
3.09E-01,0.086151005
3.09E-01,0.086291099
3.08E-01,0.086431196
3.08E-01,0.086571292
3.08E-01,0.086711388
3.08E-01,0.086851485
3.08E-01,0.086991579
3.08E-01,0.087131675
3.08E-01,0.087271771
3.07E-01,0.087411864
3.07E-01,0.087551958
3.07E-01,0.087692055
3.07E-01,0.08783215
3.07E-01,0.087972241
3.07E-01,0.088112332
3.06E-01,0.088252427
3.06E-01,0.088392519
3.06E-01,0.088532613
3.06E-01,0.088672706
3.06E-01,0.088812802
3.06E-01,0.088952901
3.06E-01,0.089093001
3.06E-01,0.089233099
3.05E-01,0.089373196
3.05E-01,0.089513292
3.05E-01,0.089653391
3.05E-01,0.08979349
3.05E-01,0.08993359
3.05E-01,0.090073687
3.04E-01,0.090213787
3.04E-01,0.090353885
3.04E-01,0.090493977
3.04E-01,0.090634067
3.04E-01,0.090774155
3.04E-01,0.090914245
3.04E-01,0.091054336
3.03E-01,0.091194424
3.03E-01,0.091334516
3.03E-01,0.091474608
3.03E-01,0.091614698
3.03E-01,0.09175479
3.03E-01,0.091894882
3.03E-01,0.092034975
3.03E-01,0.092175066
3.02E-01,0.092315161
3.02E-01,0.092455257
3.02E-01,0.092595354
