Ewe/V,Capacity/mA.h
9.21E-02,0.942041582
9.21E-02,0.94189987
9.21E-02,0.941758158
9.23E-02,0.941616442
9.23E-02,0.941474725
9.21E-02,0.94133301
9.22E-02,0.941191295
9.23E-02,0.941049582
9.23E-02,0.940907867
9.23E-02,0.940766151
9.22E-02,0.940624437
9.22E-02,0.940482721
9.24E-02,0.940341003
9.23E-02,0.940199287
9.24E-02,0.940057574
9.24E-02,0.939915861
9.25E-02,0.939774145
9.24E-02,0.939632428
9.25E-02,0.939490713
9.25E-02,0.939348997
9.24E-02,0.939207278
9.25E-02,0.93906556
9.24E-02,0.938923841
9.24E-02,0.938782123
9.24E-02,0.938640404
9.24E-02,0.938498688
9.24E-02,0.938356973
9.25E-02,0.938215257
9.26E-02,0.938073544
9.26E-02,0.937931829
9.25E-02,0.937790114
9.26E-02,0.937648402
9.26E-02,0.937506693
9.25E-02,0.937364984
9.27E-02,0.937223268
9.26E-02,0.937081549
9.26E-02,0.936939831
9.27E-02,0.936798116
9.26E-02,0.936656402
9.27E-02,0.936514687
9.26E-02,0.936372972
9.27E-02,0.93623126
9.27E-02,0.936089548
9.27E-02,0.935947838
9.28E-02,0.935806131
9.27E-02,0.935664422
9.27E-02,0.935522713
9.28E-02,0.935381004
9.28E-02,0.935239294
9.27E-02,0.935097582
9.27E-02,0.93495587
9.27E-02,0.934814156
9.29E-02,0.93467244
9.27E-02,0.934530721
9.28E-02,0.934388999
9.28E-02,0.934247281
9.28E-02,0.934105563
9.30E-02,0.933963843
9.30E-02,0.933822123
9.30E-02,0.933680405
9.28E-02,0.933538688
9.29E-02,0.933396969
9.30E-02,0.93325525
9.29E-02,0.933113534
9.29E-02,0.932971818
9.28E-02,0.932830101
9.30E-02,0.932688382
9.29E-02,0.932546663
9.29E-02,0.932404943
9.30E-02,0.932263222
9.30E-02,0.932121502
9.29E-02,0.931979781
9.31E-02,0.931838064
9.31E-02,0.931696351
9.31E-02,0.931554638
9.31E-02,0.931412925
9.31E-02,0.931271209
9.32E-02,0.931129493
9.32E-02,0.930987777
9.30E-02,0.93084606
9.30E-02,0.930704347
9.30E-02,0.930562634
9.33E-02,0.930420924
9.32E-02,0.93027921
9.32E-02,0.930137496
9.32E-02,0.929995784
9.32E-02,0.929854073
9.32E-02,0.929712362
9.32E-02,0.929570652
9.32E-02,0.929428944
9.32E-02,0.929287234
9.31E-02,0.929145524
9.32E-02,0.929003814
9.32E-02,0.928862101
9.31E-02,0.928720391
9.32E-02,0.92857868
9.33E-02,0.928436971
9.32E-02,0.928295259
9.32E-02,0.928153546
9.32E-02,0.928011834
9.34E-02,0.927870124
9.33E-02,0.927728413
9.33E-02,0.927586705
9.34E-02,0.927444994
9.33E-02,0.927303283
9.33E-02,0.927161569
9.33E-02,0.927019855
9.33E-02,0.926878141
9.33E-02,0.92673643
9.33E-02,0.926594721
9.33E-02,0.926453014
9.33E-02,0.926311305
9.34E-02,0.926169599
9.34E-02,0.926027893
9.35E-02,0.925886182
9.34E-02,0.92574447
9.33E-02,0.925602761
9.34E-02,0.925461052
9.34E-02,0.92531934
9.35E-02,0.925177629
9.34E-02,0.925035921
9.34E-02,0.924894212
9.36E-02,0.924752505
9.34E-02,0.92461079
9.35E-02,0.924469079
9.34E-02,0.924327365
9.34E-02,0.924185652
9.35E-02,0.924043937
9.35E-02,0.923902224
9.34E-02,0.923760511
9.36E-02,0.923618801
9.35E-02,0.923477091
9.36E-02,0.923335376
9.36E-02,0.923193661
9.37E-02,0.923051949
9.36E-02,0.922910237
9.35E-02,0.922768525
9.36E-02,0.922626815
9.36E-02,0.922485105
9.35E-02,0.922343392
9.35E-02,0.922201683
9.35E-02,0.922059973
9.37E-02,0.92191826
9.36E-02,0.921776548
